Activity Date,Transaction Amount,Admitting Physician,Attending Physician,Consulting Physician,Ordering Physician,Revenue Code,Performing Physician,Referring Physician,Rendering Physician,Supervising Physician
06/01/2024,0.77,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/01/2024,1.62,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/01/2024,2.43,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/01/2024,4.32,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/01/2024,4.74,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/01/2024,8.72,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/01/2024,11.45,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/01/2024,17.87,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/01/2024,24.6,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/01/2024,47.03,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/01/2024,51,"Thompson, Jon C","Thompson, Jon C",,"Thompson, Jon C",0300,,,"Thompson, Jon C",
06/01/2024,53.1,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/01/2024,58.78,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/01/2024,138,"Sethuraman, Venkat","Sethuraman, Venkat",,"Sethuraman, Venkat",0300,,,"Sethuraman, Venkat",
06/01/2024,143.85,"Sethuraman, Venkat","Sethuraman, Venkat",,"Sethuraman, Venkat",0300,,,"Sethuraman, Venkat",
06/01/2024,153.23,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/01/2024,205.95,"Sethuraman, Venkat","Sethuraman, Venkat",,"Sethuraman, Venkat",0300,,,"Sethuraman, Venkat",
06/01/2024,1545,"Sethuraman, Venkat","Sethuraman, Venkat",,"Sethuraman, Venkat",0420,,,"Sethuraman, Venkat",
06/01/2024,3090,"Sethuraman, Venkat","Sethuraman, Venkat",,"Sethuraman, Venkat",0420,,,"Sethuraman, Venkat",
06/01/2024,4200,"Snow, Brian J","Snow, Brian J",,,0762,,,,
06/01/2024,4550,"Snow, Brian J","Snow, Brian J",,,0762,,,,
06/02/2024,0.77,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/02/2024,2.43,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/02/2024,4.32,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/02/2024,4.74,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/02/2024,7.2,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/02/2024,8.72,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/02/2024,11.45,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/02/2024,12.47,"Sethuraman, Venkat","Sethuraman, Venkat",,"Brickey, Mark",0300,,,"Brickey, Mark",
06/02/2024,35.73,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/02/2024,47.03,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/02/2024,143.85,"Sethuraman, Venkat","Sethuraman, Venkat",,"Sethuraman, Venkat",0300,,,"Sethuraman, Venkat",
06/02/2024,153.23,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/02/2024,205.95,"Sethuraman, Venkat","Sethuraman, Venkat",,"Sethuraman, Venkat",0300,,,"Sethuraman, Venkat",
06/02/2024,276,"Sethuraman, Venkat","Sethuraman, Venkat",,"Brickey, Mark",0300,,,"Brickey, Mark",
06/02/2024,1545,"Sethuraman, Venkat","Sethuraman, Venkat",,"Sethuraman, Venkat",0420,,,"Sethuraman, Venkat",
06/03/2024,-144356.4,"Angobaldo, Jeff O","Angobaldo, Jeff O",,"Angobaldo, Jeff O",0360,,,"Angobaldo, Jeff O",
06/03/2024,-14631,"Berry, Robert E","Berry, Robert E",,,0272,,,"Berry, Robert E",
06/03/2024,-10082.7,"Hsiao, Chris L","Hsiao, Chris L",,"Hsiao, Chris L",0360,,,"Hsiao, Chris L",
06/03/2024,-10082.7,"Rodriguez, Gabriel A","Rodriguez, Gabriel A",,"Rodriguez, Gabriel A",0360,,,"Rodriguez, Gabriel A",
06/03/2024,-7725,"Lue, Jeffrey","Lue, Jeffrey",,,0278,,,"Lue, Jeffrey",
06/03/2024,-6167,"Berry, Robert E","Berry, Robert E",,,0272,,,"Berry, Robert E",
06/03/2024,-6167,"Heinrich, John B","Heinrich, John B",,,0272,,,"Heinrich, John B",
06/03/2024,-6000,"Berry, Robert E","Berry, Robert E",,,0278,,,"Berry, Robert E",
06/03/2024,-5001,"Jacoby, Hope A","Jacoby, Hope A",,,0272,,,"Jacoby, Hope A",
06/03/2024,-5001,"Jacoby, Hope A","Jacoby, Hope A",,,0278,,,"Jacoby, Hope A",
06/03/2024,-3850,"Macphee, Jessica","Macphee, Jessica",,,0762,,,,
06/03/2024,-3388.65,"Courtney, Stephen P","Courtney, Stephen P",,"Courtney, Stephen P",0320,,,"Courtney, Stephen P",
06/03/2024,-3388.65,"Hsiao, Chris L","Hsiao, Chris L",,"Hsiao, Chris L",0320,,,"Hsiao, Chris L",
06/03/2024,-3388.65,"Rodriguez, Gabriel A","Rodriguez, Gabriel A",,"Rodriguez, Gabriel A",0320,,,"Rodriguez, Gabriel A",
06/03/2024,-3050,"Berry, Robert E","Berry, Robert E",,,0272,,,"Berry, Robert E",
06/03/2024,-3000,"Heinrich, John B","Heinrich, John B",,,0278,,,"Heinrich, John B",
06/03/2024,-2927,"Jacoby, Hope A","Jacoby, Hope A",,,0272,,,"Jacoby, Hope A",
06/03/2024,-2650,"Thompson, Jon C","Thompson, Jon C",,,0272,,,"Thompson, Jon C",
06/03/2024,-2335.2,"Berry, Robert E","Berry, Robert E",,"Berry, Robert E",0614,,,"Berry, Robert E",
06/03/2024,-2200,"Cubitt, Bradley","Cubitt, Bradley",,,0272,,,"Cubitt, Bradley",
06/03/2024,-2200,"Rodriguez, Gabriel A","Rodriguez, Gabriel A",,,0272,,,"Rodriguez, Gabriel A",
06/03/2024,-2138.9,"Courtney, Stephen P","Courtney, Stephen P",,,0250,,,,
06/03/2024,-2138.9,"Sethuraman, Venkat","Sethuraman, Venkat",,,0250,,,,
06/03/2024,-1800,"Jacoby, Hope A","Jacoby, Hope A",,,0278,,,"Jacoby, Hope A",
06/03/2024,-1765.92,"Courtney, Stephen P","Courtney, Stephen P",,,0250,,,,
06/03/2024,-1747,"Berry, Robert E","Berry, Robert E",,,0272,,,"Berry, Robert E",
06/03/2024,-1744,"Berry, Robert E","Berry, Robert E",,,0272,,,"Berry, Robert E",
06/03/2024,-1744,"Jacoby, Hope A","Jacoby, Hope A",,,0272,,,"Jacoby, Hope A",
06/03/2024,-1680,"Berry, Robert E","Berry, Robert E",,,0272,,,"Berry, Robert E",
06/03/2024,-1062,"Berry, Robert E","Berry, Robert E",,,0272,,,"Berry, Robert E",
06/03/2024,-1062,"Thompson, Jon C","Thompson, Jon C",,,0272,,,"Thompson, Jon C",
06/03/2024,-1002,"Berry, Robert E","Berry, Robert E",,,0272,,,"Berry, Robert E",
06/03/2024,-830,"Berry, Robert E","Berry, Robert E",,,0272,,,"Berry, Robert E",
06/03/2024,-816,"Berry, Robert E","Berry, Robert E",,,0278,,,"Berry, Robert E",
06/03/2024,-800,"Berry, Robert E","Berry, Robert E",,,0272,,,"Berry, Robert E",
06/03/2024,-794,"Berry, Robert E","Berry, Robert E",,,0272,,,"Berry, Robert E",
